modulo_nome,modulo_tipo,sensor_hex_id,latencia_observada_ms,tensao_v,corrente_a,status,prioridade,ciclo,latencia_prevista_ms
Suporte Vital,suporte_medico,0xA1F3,48.5,12.0,3.8,ativo,1,1,47.57
Energia,armazenamento_dados,0xB2C4,55.2,24.0,8.5,alerta,2,1,52.99
Comunicacao,comunicacao,0xC3D5,43.0,5.0,1.2,ativo,3,1,43.58
Habitat,habitacao,0xD4E6,62.1,12.0,2.5,manutencao,4,1,55.22
Laboratorio,laboratorio,0xE5F7,44.8,9.0,2.0,ativo,5,1,49.9
Agricultura,agricultura,0xF101,52.3,15.0,4.2,ativo,2,1,53.49
Controle Termico,habitacao,0x8801,56.4,18.0,5.0,ativo,3,1,57.05
Estacao Externa,comunicacao,0x9901,44.1,6.0,1.5,ativo,1,1,44.57
Suporte Vital,suporte_medico,0xA102,49.12,12.21,3.78,ativo,1,2,48.27
Energia,armazenamento_dados,0xB202,55.88,25.28,8.41,ativo,2,2,57.04
Comunicacao,comunicacao,0xC302,42.66,5.05,1.25,ativo,3,2,43.43
Habitat,habitacao,0xD402,61.17,11.78,2.44,alerta,4,2,54.97
Laboratorio,laboratorio,0xE502,44.91,8.18,2.09,ativo,5,2,47.11
Agricultura,agricultura,0xF102,51.05,14.2,4.12,ativo,2,2,51.75
Controle Termico,habitacao,0x8802,55.02,17.56,4.52,ativo,3,2,58.66
Estacao Externa,comunicacao,0x9902,44.23,6.13,1.46,ativo,1,2,45.17
Suporte Vital,suporte_medico,0xA103,47.76,11.52,3.86,ativo,1,3,45.9
Energia,armazenamento_dados,0xB203,56.13,23.75,8.27,ativo,2,3,53.65
Comunicacao,comunicacao,0xC303,42.76,4.91,1.2,ativo,3,3,43.33
Habitat,habitacao,0xD403,62.87,12.16,2.36,alerta,4,3,56.49
Laboratorio,laboratorio,0xE503,45.76,9.88,2.11,ativo,5,3,51.68
Agricultura,agricultura,0xF103,51.23,15.46,4.01,ativo,2,3,55.87
Controle Termico,habitacao,0x8803,55.61,18.49,4.88,ativo,3,3,59.1
Estacao Externa,comunicacao,0x9903,43.7,5.82,1.52,ativo,1,3,43.96
Suporte Vital,suporte_medico,0xA104,49.18,11.72,3.9,ativo,1,4,46.21
Energia,armazenamento_dados,0xB204,55.17,24.78,8.18,alerta,2,4,57.02
Comunicacao,comunicacao,0xC304,42.74,4.74,1.26,ativo,3,4,42.51
Habitat,habitacao,0xD404,61.45,11.83,2.63,alerta,4,4,53.99
Laboratorio,laboratorio,0xE504,44.25,9.26,2.03,ativo,5,4,50.44
Agricultura,agricultura,0xF104,53.08,14.96,4.38,ativo,2,4,52.32
Controle Termico,habitacao,0x8804,54.84,17.98,5.35,ativo,3,4,54.93
Estacao Externa,comunicacao,0x9904,44.89,6.17,1.4,ativo,1,4,45.63
Suporte Vital,suporte_medico,0xA105,48.38,12.38,3.8,ativo,1,5,48.62
Energia,armazenamento_dados,0xB205,54.45,22.74,8.2,ativo,2,5,51.28
Comunicacao,comunicacao,0xC305,43.55,4.86,1.17,ativo,3,5,43.37
Habitat,habitacao,0xD405,62.52,12.14,2.44,alerta,4,5,55.96
Laboratorio,laboratorio,0xE505,44.4,9.03,2.09,ativo,5,5,49.45
Agricultura,agricultura,0xF105,50.99,14.83,4.13,ativo,2,5,53.43
Controle Termico,habitacao,0x8805,56.62,18.19,5.06,ativo,3,5,57.22
Estacao Externa,comunicacao,0x9905,43.81,5.95,1.47,ativo,1,5,44.61
Suporte Vital,suporte_medico,0xA106,48.77,12.19,3.77,ativo,1,6,48.27
Energia,armazenamento_dados,0xB206,54.55,22.3,8.14,alerta,2,6,50.42
Comunicacao,comunicacao,0xC306,42.79,4.66,1.2,ativo,3,6,42.65
Habitat,habitacao,0xD406,63.07,13.03,2.48,manutencao,4,6,58.18
Laboratorio,laboratorio,0xE506,45.52,8.99,1.89,ativo,5,6,50.52
Agricultura,agricultura,0xF106,52.09,15.39,4.35,ativo,2,6,53.68
Controle Termico,habitacao,0x8806,57.12,18.88,4.68,ativo,3,6,61.35
Estacao Externa,comunicacao,0x9906,45.1,6.46,1.47,ativo,1,6,46.02
Suporte Vital,suporte_medico,0xA107,49.23,12.72,3.95,ativo,1,7,48.67
Energia,armazenamento_dados,0xB207,54.35,23.69,8.75,ativo,2,7,50.66
Comunicacao,comunicacao,0xC307,42.39,4.84,1.28,ativo,3,7,42.67
Habitat,habitacao,0xD407,61.18,11.86,2.59,alerta,4,7,54.31
Laboratorio,laboratorio,0xE507,43.79,9.07,2.12,ativo,5,7,49.38
Agricultura,agricultura,0xF107,53.02,15.1,4.25,ativo,2,7,53.47
Controle Termico,habitacao,0x8807,57.24,18.82,4.8,ativo,3,7,60.48
Estacao Externa,comunicacao,0x9907,43.78,6.26,1.52,ativo,1,7,45.17
Suporte Vital,suporte_medico,0xA108,48.29,12.78,3.88,ativo,1,8,49.25
Energia,armazenamento_dados,0xB208,55.76,24.55,8.13,ativo,2,8,56.68
Comunicacao,comunicacao,0xC308,43.5,5.13,1.27,ativo,3,8,43.53
Habitat,habitacao,0xD408,62.39,12.4,2.4,alerta,4,8,56.91
Laboratorio,laboratorio,0xE508,45.05,8.57,1.93,ativo,5,8,49.12
Agricultura,agricultura,0xF108,52.88,14.87,4.43,ativo,2,8,51.77
Controle Termico,habitacao,0x8808,56.66,19.72,5.02,alerta,3,8,61.67
Estacao Externa,comunicacao,0x9908,44.37,5.99,1.43,ativo,1,8,44.96
Suporte Vital,suporte_medico,0xA109,48.93,11.91,3.92,ativo,1,9,46.62
Energia,armazenamento_dados,0xB209,53.63,23.94,8.18,alerta,2,9,54.7
Comunicacao,comunicacao,0xC309,43.38,4.84,1.17,ativo,3,9,43.32
Habitat,habitacao,0xD409,63.54,12.04,2.57,manutencao,4,9,54.92
Laboratorio,laboratorio,0xE509,45.56,9.07,1.93,ativo,5,9,50.5
Agricultura,agricultura,0xF109,53.31,15.03,4.36,alerta,2,9,52.63
Controle Termico,habitacao,0x8809,55.88,17.13,4.79,alerta,3,9,55.88
Estacao Externa,comunicacao,0x9909,44.84,6.11,1.5,ativo,1,9,44.88
Suporte Vital,suporte_medico,0xA10A,49.95,12.6,3.8,ativo,1,10,49.23
Energia,armazenamento_dados,0xB20A,56.06,24.83,8.59,ativo,2,10,54.74
Comunicacao,comunicacao,0xC30A,42.52,4.86,1.19,ativo,3,10,43.26
Habitat,habitacao,0xD40A,61.03,12.03,2.76,alerta,4,10,53.78
Laboratorio,laboratorio,0xE50A,44.43,9.22,1.85,ativo,5,10,51.39
Agricultura,agricultura,0xF10A,51.93,15.57,4.21,ativo,2,10,55.0
Controle Termico,habitacao,0x880A,55.69,17.55,5.15,ativo,3,10,54.92
Estacao Externa,comunicacao,0x990A,45.71,6.05,1.66,ativo,1,10,43.77
